Source name,Source site,start year,end year,sample frequency,temporal resolution,Region,County,Watershed,Waterbody,Latitude,Longitude,Spatial extent,spatial resolution,Type of measurment,open access,comments
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=229,2004,2011,event,,SAN JOAQUIN R,STANISLAUS,,DPC,-121.2081,37.4867,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=230,2009,2022,event,,SAN JOAQUIN R,CONTRA COSTA,,DSJ,-121.671,38.013,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=231,1994,2022,daily,,EAST BAY,ALAMEDA,,DV7,-121.7419,37.6547,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=232,1994,2022,hourly,,EAST BAY,ALAMEDA,,DV7,-121.7419,37.6547,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=233,1993,2010,daily,,SANTA ANA R,SAN BERNARDINO,,DVC,-117.3307,34.2235,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=234,1993,2010,hourly,,SANTA ANA R,SAN BERNARDINO,,DVC,-117.3307,34.2235,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=235,1997,2022,hourly,,SACRAMENTO R,TEHAMA,,DVD,-122.034363,39.963615,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=236,2011,2022,event,,SACRAMENTO R,YOLO,,DWS,-121.66667,38.25611,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=237,2013,2022,daily,,SAN JOAQUIN R,MERCED,,EBM,-120.6981,37.205,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=238,2006,2022,event,,TUOLUMNE R,TUOLUMNE,,ECK,-119.882126,37.96909,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=239,2007,2022,event,,SMITH R,DEL NORTE,,EFD,-124.1886,41.8428,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=240,1999,2022,hourly,,DELTA,SACRAMENTO,,EMM,-121.738924,38.084272,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=241,2018,2022,event,,MERCED R,MERCED,,EW3,-120.70306,37.4775,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=242,2013,2022,daily,,DELTA,CONTRA COSTA,,FAL,-121.6669,38.0558,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=243,2008,2022,event,,TRUCKEE R,NEVADA,,FAR,-120.034088,39.427963,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=244,2015,2022,daily,,SAN JOAQUIN R,SAN JOAQUIN,,FCT,-121.648838,38.067822,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=245,2004,2022,daily,,SAN JOAQUIN R,MERCED,,FFB,-120.931038,37.30994,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=246,2010,2022,event,,TUOLUMNE R,TUOLUMNE,,FHH,-119.7633,37.9708,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=247,2010,2022,event,,DELTA,SOLANO,,FLT,-122.102048,38.080379,,,logger,yes,
